constno,candidatename,party,criminalcases,education,age,totalassets,liabilities
155,Rajendiran D,IND,0,Illiterate,38,"Rs 2,84,000",Rs 0
155,Sathish B,Vidiyalai Thedum Indhiyargal Party,0,Graduate Professional,26,"Rs 91,595",Rs 0
155,Senthil Kumar K,Naam Tamilar Katchi,0,Graduate,28,"Rs 5,49,663","Rs 3,50,000"
155,Shankar K,Vijaya Bharatha Makkal (People) Party,0,12th Pass,32,"Rs 1,02,500",Rs 0
155,Sivanantham R,IND,0,Illiterate,32,"Rs 7,80,000",Rs 0
155,Srinivasan K,BJP,0,Not Given,46,"Rs 97,39,000",Rs 0
155,Srinivasan V,IND,0,12th Pass,50,"Rs 5,15,899",Rs 0
156,Narasimhan P M,AIADMK,0,Post Graduate,66,"Rs 2,58,50,980",Rs 0
156,Chakravarthy. M,BJP,0,Graduate,63,"Rs 6,95,95,062","Rs 2,39,28,900"
156,Jaibaskaran S,BSP,0,12th Pass,35,"Rs 4,90,500",Rs 0
156,Prabu S,Naam Tamilar Katchi,0,12th Pass,30,"Rs 1,39,127","Rs 7,46,912"
